City,State,"Population 
(2016 Census)",Stage,"If applicable, date proposed",Month & Year - Enactment,"If applicable, date enacted ",Type,
ALAMEDA,CA,,Implementation,,Jan-08,1/3/2008,Expanded Polystyrene Ban,
ST. HELENA,CA,"6,133.00",Implementation,,Aug-14,8/26/2014,Plastic Bag Ban,
OCEANSIDE,CA,"175,473.00",Implementation,,Aug-16,8/24/2016,Plastic Bag Ban,
SAN DIEGO,CA,"1,407,000.00",Temporary COVID-19 Repeal,,Feb-19,2/23/2019,Single-Use Plastics + Expanded Polystyrene Ban,
DANVILLE,CA,"44,631.00",Implementation,,Dec-14,12/1/2014,Plastic Bag Ban,
YOUNTVILLE,CA,"3,002.00",Implementation,,Mar-16,3/1/2016,Plastic Bag Ban,
CATHEDRAL CITY,CA,"54,094.00",Implementation,,Jul-16,7/22/2016,Plastic Bag Ban,
HERMOSA BEACH,CA,"19,811.00",Implementation,,Apr-16,4/1/2016,"Plastic Bags, Straws & Stirrers",
AMERICAN CANYON,CA,"20,402.00",Implementation,,Aug-16,8/1/2016,Plastic Bag Ban,
MILPITAS,CA,"73,447.00",Implementation,,Sep-15,9/15/2015,Plastic Bag Ban,
SEASIDE,CA,"34,402.00",Implementation,,Aug-10,8/21/2010,Expanded Polystyrene Ban,
LAFAYETTE,CA,"127,429.00",Implementation,,Dec-14,12/8/2014,Expanded Polystyrene Ban,
MANHATTAN BEACH,CA,"35,777.00",Implementation,,Jun-13,6/1/2013,Single-Use Plastics + Expanded Polystyrene Ban,
FAIRFAX,CA,"7,599.00",Implementation,,Jul-08,7/1/2008,Single-Use Plastics + Expanded Polystyrene Ban,
PACIFICA,CA,"39,314.00",Implementation,,Sep-10,9/1/2010,Single-Use Plastics + Expanded Polystyrene Ban,
SACRAMENTO,CA,"494,894.00",Implementation,,Mar-15,3/31/2015,Plastic Bag Ban,
MARINA,CA,"21,732.00",Implementation,,Aug-14,8/19/2014,Plastic Bag Ban,
ENCINITAS,CA,"63,124.00",Implementation,,Apr-15,4/10/2015,Single-Use Plastics + Expanded Polystyrene Ban,
HERCULES,CA,"25,444.00",Implementation,,May-08,5/20/2008,Expanded Polystyrene Ban,
PACIFIC GROVE,CA,"15,675.00",Implementation,,Aug-14,8/20/2014,Single-Use Plastics + Expanded Polystyrene Ban,
PLEASANT HILL,CA,"34,954.00",Implementation,,Aug-14,8/4/2014,Plastic Bag Ban,
NEVADA CITY,CA,"3,136.00",Implementation,,Jun-15,6/25/2015,Plastic Bag Ban,
MOUNTAIN VIEW,CA,"80,963.00",Implementation,,Dec-12,12/1/2012,Expanded Polystyrene Ban,
MONROVIA,CA,"37,181.00",Implementation,,Dec-17,12/5/2017,Expanded Polystyrene Ban,
KING CITY,CA,"13,910.00",Implementation,,Sep-14,9/14/2014,Plastic Bag Ban,
MARTINEZ,CA,"38,272.00",Implementation,,Jun-14,6/18/2014,Single-Use Plastics + Expanded Polystyrene Ban,
CHICO,CA,"91,658.00",Implementation,,Jun-14,6/20/2014,Plastic Bag Ban,
GRASS VALLEY,CA,"12,940.00",Implementation,,Aug-14,8/26/2014,Plastic Bag Ban,
CALISTOGA,CA,"5,303.00",Implementation,,Aug-14,8/5/2014,Plastic Bag Ban,
INDIO,CA,"88,468.00",Implementation,,May-14,5/15/2014,Plastic Bag Ban,
WALNUT CREEK,CA,"69,332.00",Implementation,,Mar-14,3/1/2014,Expanded Polystyrene Ban,
BELVEDERE,CA,"2,131.00",Implementation,,Jun-14,6/9/2014,Plastic Bag Ban,
SOUTH PASADENA,CA,"25,967.00",Implementation,,Nov-16,11/1/2016,Expanded Polystyrene Ban,
ARCATA,CA,"17,943.00",Implementation,,Oct-15,10/1/2015,Single-Use Plastics + Expanded Polystyrene Ban,
PALM SPRINGS,CA,"47,646.00",Implementation,,Apr-14,4/2/2014,Expanded Polystyrene Ban,
SOUTH LAKE TAHOE,CA,"21,797.00",Implementation,,Oct-18,10/15/2018,Single-Use Plastics + Expanded Polystyrene Ban,
SAN RAFAEL,CA,"59,131.00",Implementation,,Mar-14,3/3/2014,Single-Use Plastics + Expanded Polystyrene Ban,
NOVATO,CA,"56,139.00",Implementation,,Mar-14,3/1/2014,Single-Use Plastics + Expanded Polystyrene Ban,
PETALUMA,CA,"60,593.00",Proposal,10/24/2019,Oct-19,,Plastic Bag Ban,
SANTA ROSA,CA,"175,320.00",Implementation,,Feb-14,2/1/2014,Plastic Bag Ban,
SALINAS,CA,"157,618.00",Implementation,,Aug-11,8/16/2011,Expanded Polystyrene Ban,
ROHNERT PARK,CA,"42,669.00",Implementation,,Feb-14,2/19/2014,Plastic Bag Ban,
COTATI,CA,"7,464.00",Implementation,,Feb-14,2/19/2014,Plastic Bag Ban,
CLOVERDALE,CA,"8,829.00",Implementation,,Mar-19,3/2019,Expanded Polystyrene Ban,
HEALDSBURGH,CA,"11,840.00",Formal Enactment,,Mar-19,3/26/2019,Plastic Bag Ban,
SAUSALITO,CA,"7,162.00",Implementation,,Mar-14,3/1/2014,Single-Use Plastics + Expanded Polystyrene Ban,
SEBASTOPOL,CA,"7,686.00",Implementation,,Feb-14,2/19/2014,Plastic Bag Ban,
SONOMA CITY,CA,"11,073.00",Implementation,,Jun-19,6/10/2019,Single-Use Plastics + Expanded Polystyrene Ban,
WINDSOR,CA,"27,318.00",Implementation,,Feb-14,2/19/2014,Plastic Bag Ban,
DAVIS CITY,CA,"68,118.00",Implementation,,Nov-13,11/2013,Single-Use Plastics + Expanded Polystyrene Ban,
LOS ANGELES CITY,CA,"3,981,000.00",Implementation,,Aug-08,8/2008,"Plastic Bags, Straws & Stirrers",
TRUCKEE,CA,"16,370.00",Implementation,,Nov-13,11/25/2013,Plastic Bag Ban,
ORCUTT,CA,"30,109.00",Implementation,,Aug-15,8/25/2015,Plastic Bag Ban,
LOS GATOS,CA,"30,756.00",Implementation,,Dec-14,12/16/2014,Expanded Polystyrene Ban,
CAMPBELL,CA,"41,198.00",Implementation,,Nov-14,11/18/2014,Expanded Polystyrene Ban,
PITTSBURG,CA,"70,900.00",Implementation,,Nov-19,11/4/2019,Expanded Polystyrene Ban,
RICHMOND,CA,"109,802.00",Implementation,,Jul-13,7/16/2013,Plastic Bag Ban,
EL CERRITO,CA,"25,494.00",Implementation,,Jan-14,1/1/2014,Expanded Polystyrene Ban,
SAN PABLO,CA,"31,061.00",Implementation,,Oct-14,10/6/2014,Expanded Polystyrene Ban,
CULVER CITY,CA,"39,436.00",Implementation,,May-17,5/8/2017,Single-Use Plastics + Expanded Polystyrene Ban,
SAN JOSE,CA,"1,032,000.00",Implementation,,Aug-13,8/14/2013,Expanded Polystyrene Ban,
MILL VALLEY,CA,"14,405.00",Implementation,,Oct-13,10/21/2013,Plastic Bag Ban,
EAST PALO ALTO,CA,"29,875.00",Implementation,,Jan-10,1/2010,Single-Use Plastics + Expanded Polystyrene Ban,
REDWOOD CITY (IN SAN MATEO COUNTY),CA,"85,479.00",Implementation,,Jan-12,1/2012,Expanded Polystyrene Ban,
CUPERTINO,CA,"61,016.00",Implementation,,Feb-14,2/4/2014,Single-Use Plastics + Expanded Polystyrene Ban,
LOS ALTOS,CA,"30,755.00",Implementation,,Feb-12,2/1/2012,Expanded Polystyrene Ban,
PALO ALTO,CA,"67,490.00",Implementation,,Nov-15,11/1/2015,Expanded Polystyrene Ban,
SAN CARLOS,CA,"29,963.00",Implementation,,Jun-12,6/2012,Expanded Polystyrene Ban,
HALF MOON BAY,CA,"12,780.00",Implementation,,May-11,5/17/2011,Expanded Polystyrene Ban,
SAN BRUNO,CA,"43,241.00",Implementation,,Feb-13,2/1/2013,Expanded Polystyrene Ban,
PORTOLA VALLEY,CA,"4,622.00",Implementation,,Jan-13,1/23/2013,Plastic Bag Ban,
PACIFICA,CA,"39,314.00",Implementation,,Jan-19,1/2019,Plastic Bag Ban,
MORGAN HILL CITY,CA,"44,446.00",Implementation,,Oct-13,10/3/2013,Plastic Bag Ban,
MENLO PARK,CA,"34,079.00",Implementation,,Jan-13,1/22/2013,Plastic Bag Ban,
BELMONT,CA,"27,233.00",Implementation,,Jun-12,6/2012,Single-Use Plastics + Expanded Polystyrene Ban,
FOSTER CITY,CA,"34,361.00",Implementation,,Oct-11,10/18/2011,Expanded Polystyrene Ban,
DALY CITY,CA,"107,112.00",Implementation,,Mar-12,3/2012,Plastic Bag Ban,
COLMA,CA,"1,521.00",Implementation,,Aug-13,8/2013,Single-Use Plastics + Expanded Polystyrene Ban,
SAN MATEO CITY,CA,"104,603.00",Implementation,,May-13,5/6/2013,Expanded Polystyrene Ban,
SOUTH SAN FRANCISCO,CA,"67,397.00",Temporary COVID-19 Repeal,,Jan-08,1/2008,Expanded Polystyrene Ban,
WOODSIDE,CA,"5,581.00",Implementation,,Mar-13,3/25/2013,Plastic Bag Ban,
CARPINTERIA,CA,"13,653.00",Implementation,,Jan-17,1/2017,Single-Use Plastics + Expanded Polystyrene Ban,
SANTA CRUZ,CA,"64,545.00",Implementation,,Jan-12,1/2012,Expanded Polystyrene Ban,
DANA POINT,CA,"34,062.00",Implementation,,Feb-12,2/21/2012,Expanded Polystyrene Ban,
CAPITOLA,CA,"10,197.00",Implementation,,Jan-12,1/2012,Expanded Polystyrene Ban,
BURLINGAME,CA,"30,502.00",Implementation,,May-11,05/16/2011,Expanded Polystyrene Ban,
BRISBANE,CA,"4,724.00",Implementation,,Jan-14,1/2014,Plastic Bag Ban,
SUNNYVALE,CA,"153,797.00",Implementation,,Nov-13,11/2013,Expanded Polystyrene Ban,
WEST HOLLYWOOD,CA,"36,735.00",Implementation,,Aug-12,08/20/2012,Plastic Bag Ban,
CARMEL BY THE SEA,CA,"3,903.00",Implementation,,Oct-17,10/3/2017,Plastic Straw Ban,
PLEASANTON,CA,"82,467.00",Implementation,,Jan-13,1/2013,Expanded Polystyrene Ban,
PIEDMONT,CA,"11,201.00",Implementation,,Oct-16,10/26/2016,Plastic Bag Ban,
OAKLAND,CA,"421,566.00",Implementation,,Jan-07,1/2007,Expanded Polystyrene Ban,
NEWARK,CA,"45,941.00",Implementation,,Oct-16,10/26/2016,Plastic Bag Ban,
MONTEREY,CA,"28,732.00",Implementation,,Jan-09,1/2009,Expanded Polystyrene Ban,
ALBANY,CA,"19,767.00",Implementation,,Jan-08,1/2008,Single-Use Plastics + Expanded Polystyrene Ban,
LIVERMORE,CA,"89,682.00",Formal Enactment,,Jun-19,6/29/2019,Single-Use Plastics + Expanded Polystyrene Ban,
BERKLEY,CA,"121,672.00",Implementation,,Jan-88,1/1988,Plastic Bag Ban,
HAYWARD,CA,"159,445.00",Implementation,,Jun-11,6/1/2011,Expanded Polystyrene Ban,
GLENDALE,CA,"201,039.00",Implementation,,Jan-13,1/22/2013,Plastic Bag Ban,
FREMONT,CA,"233,801.00",Implementation,,Jan-11,1/1/2011,Expanded Polystyrene Ban,
EMERYVILLE,CA,"11,794.00",Implementation,,Jan-08,1/2008,Expanded Polystyrene Ban,
DUBLIN,CA,"59,682.00",Implementation,,Oct-16,10/26/2016,Plastic Bag Ban,
CORVALLIS,CA,"56,945.00",Implementation,,Jun-12,6/2012,Plastic Bag Ban,
LAGUNA BEACH,CA,"23,244.00",Implementation,,Jan-08,1/2008,Expanded Polystyrene Ban,
SAN LEANDRO,CA,"90,807.00",Implementation,,Oct-12,10/1/2012,Expanded Polystyrene Ban,
UNION CITY,CA,"75,558.00",Implementation,,Jan-17,1/2017,Single-Use Plastics + Expanded Polystyrene Ban,
FORT BRAGG,CA,"7,288.00",Implementation,,Sep-14,9/1/2014,Expanded Polystyrene Ban,
ARROYO GRANDE,CA,"18,088.00",Implementation,,Feb-16,2/9/2016,Single-Use Plastics + Expanded Polystyrene Ban,
PISMO BEACH,CA,"8,185.00",Implementation,,Nov-15,11/2015,Expanded Polystyrene Ban,
PASO ROBLES,CA,"31,818.00",Implementation,,Jan-12,1/10/2012,Plastic Bag Ban,
MORRO BAY,CA,"10,628.00",Implementation,,Nov-15,11/13/2015,Expanded Polystyrene Ban,
ATASCADERO,CA,"30,228.00",Implementation,,Jan-12,1/10/2012,Single-Use Plastics + Expanded Polystyrene Ban,
GROVER BEACH,CA,"13,605.00",Implementation,,Jan-18,1/22/2018,Expanded Polystyrene Ban,
WATSONVILLE,CA,"53,910.00",Implementation,,Feb-14,2/20/2014,Expanded Polystyrene Ban,
MILLBRAE,CA,"22,812.00",Implementation,,Sep-05,9/25/2005,Expanded Polystyrene Ban,
SOLANA BEACH,CA,"13,446.00",Implementation,,May-12,5/16/2012,Expanded Polystyrene Ban,
PASADENA,CA,"140,268.00",Implementation,,Jan-12,1/1/2012,Expanded Polystyrene Ban,
OJAI,CA,"7,598.00",Implementation,,Jan-12,1/2012,Expanded Polystyrene Ban,
SAN LUIS OBISPO,CA,"47,438.00",Implementation,,Dec-15,12/16/2015,Expanded Polystyrene Ban,
SAN FRANCISCO,CA,"876,103.00",Temporary COVID-19 Repeal,,Jul-16,7/12/2016,Expanded Polystyrene Ban,
SANTA MONICA,CA,"92,603.00",Implementation,,Aug-18,8/28/18,Expanded Polystyrene Ban,
LONG BEACH,CA,"470,852.00",Formal Enactment,,Mar-18,3/2018,"Plastic Bags, Straws & Stirrers",
CALABASAS,CA,"24,186.00",Implementation,,Feb-07,2/21/2007,Single-Use Plastics + Expanded Polystyrene Ban,
MALIBU,CA,"12,901.00",Implementation,,Feb-18,2/26/2018,"Plastic Bags, Straws & Stirrers",
IMPERIAL BEACH,CA,"27,424.00",Proposal,6/11/2019,Jun-19,,Plastic Bag Ban,
ANCHORAGE,AK,"297,376.00",Formal Enactment,,Dec-18,12/18/2018,Expanded Polystyrene Ban,
UNALASKA,AK,"4,517.00",Implementation,,Aug-18,8/14/2018,Plastic Bag Ban,
PALMER,AK,"7,037.00",Implementation,,May-18,5/1/2018,Plastic Bag Ban,
WASILLA,AK,"9,696.00",Implementation,,Jan-18,1/1/2018,Plastic Bag Ban,
CORDOVA,AK,"2,195.00",Implementation,,Nov-15,11/2015,Single-Use Plastics + Expanded Polystyrene Ban,
HOOPER BAY,AK,"1,195.00",Implementation,,Jan-09,1/2009,Plastic Bag Ban,
BETHEL,AK,"6,423.00",Implementation,,Oct-03,10/7/2003,Plastic Bag Ban,
CRESTED BUTTE,CO,"1,602.00",Implementation,,Aug-16,8/1/2016,Plastic Bag Ban,
AVON,CO,"6,444.00",Implementation,,Oct-17,10/10/2017,Plastic Bag Ban,
NEDERLAND,CO,"1,534.00",Implementation,,Jan-15,1/2015,Plastic Bag Ban,
BRECKENRIDGE,CO,"4,930.00",Implementation,,Jan-11,1/2011,Plastic Bag Ban,
BOULDER,CO,"107,844.00",Implementation,,Nov-12,11/1/2012,Plastic Bag Ban,
ASPEN,CO,"7,394.00",Implementation,,Oct-19,10/11/2019,Plastic Bag Ban,
CARBONDALE,CO,"6,767.00",Implementation,,Jan-11,1/2011,Plastic Bag Ban,
TELLURIDE,CO,"2,427.00",Implementation,,Oct-10,10/1/2010,Plastic Bag Ban,
DENVER,CO,"2,800,000.00",Formal Enactment,,Sep-19,9/1/2019,Plastic Bag Ban,
DURANGO,CO,"17,817.00",Implementation,,Sep-13,9/15/2013,Plastic Bag Ban,
ROARING FORK VALLEY,CO,"6,658.00",Implementation,,Oct-11,10/25/2011,Plastic Bag Ban,
TOWN OF CABONDALE,CO,"6,767.00",Implementation,,Oct-11,10/25/2011,Plastic Bag Ban,
VAIL,CO,"5,506.00",Implementation,,Mar-15,3/1/2015,Plastic Bag Ban,
GREENWICH,CT,"13,429.00",Formal Enactment,,Sep-18,9/12/2018,Plastic Bag Ban,
NEW CANAAN,CT,"20,395.00",Implementation,,Feb-19,2/27/2019,Plastic Bag Ban,
NORWALK,CT,"88,904.00",Implementation,,Sep-19,9/2019,Plastic Bag Ban,
WESTPORT,CT,"27,992.00",Implementation,,Sep-08,9/19/2008,Plastic Bag Ban,
BRANFORD,CT,"28,040.00",Pending,,,10/2/2019,,
DARIEN,CT,"21,790.00",Pending,,,10/2/2019,,
EAST HAMPTON,CT,"2,791.00",Pending,,,,,
FAIRFIELD,CT,,Formal Enactment,,,5/28/2019,,
GUILFORD,CT,"22,227",Pending,,,10/2/2019,,
HAMDEN,CT,,Temporary COVID-19 Repeal,,,2/14/2019,,
MANSFIELD,CT,"1,039.00",Temporary COVID-19 Repeal,,,,,
MIDDLETOWN,CT,"46,747.00",Temporary COVID-19 Repeal,,,4/1/2019,,
NEW BRITAIN ,CT,"73,069.00",Temporary COVID-19 Repeal,,,2/25/2019,,
NEW  HAVEN,CT,"130,884.00",Pending,,,10/2/2019,,
STAMFORD,CT,"129,042.00",Temporary COVID-19 Repeal,,,10/8/2018,,
STONINGTON,CT,"18,565.00",Pending,,,10/2/2019,,
WESTON ,CT,,Temporary COVID-19 Repeal,,,12/6/2018,,
WASHINGTON,DC,"681,170.00",Implementation,,Jul-14,7/14/2014,Expanded Polystyrene Ban,
CORAL GABLES,FL,"51,171.00",Implementation,,Jul-05,2017,Plastic Bag Ban,
MIAMI BEACH,FL,"92,510.00",Implementation,,Jul-14,7/23/2014,Single-Use Plastics + Expanded Polystyrene Ban,
ST. PETERSBURG,FL,"259,919.00",Formal Enactment,,Jan-19,1/2019,Single-Use Plastics + Expanded Polystyrene Ban,
GAINESVILLE,FL,"131,546.00",Repealed,,Jan-19,1/17/2019,Single-Use Plastics + Expanded Polystyrene Ban,
PALM BEACH,FL,"8,704.00",Implementation,,Jan-19,1/17/2019,"Plastic Bags, Straws & Stirrers",
