City,State,"Population 
FORT LAUDERDALE,FL,"179,308.00",Proposal,1/2019,Jan-19,,Plastic Bag Ban,
DEERFIELD BEACH,FL,"80,151.00",Implementation,,Sep-18,9/2018,Plastic Straw Ban,
HALLENDALE BEACH,FL,"38,951.00",Implementation,,Aug-18,8/2018,Plastic Straw Ban,
MARCO ISLAND,FL,"17,361.00",Implementation,,Mar-18,3/2018,Plastic Straw Ban,
FT. MEYER BEACH,FL,"7,011.00",Implementation,,Nov-17,11/2017,Plastic Straw Ban,
COCONUT CREEK,FL,"59,822.00",Formal Enactment,,Sep-19,9/2019,Plastic Straw Ban,
OAHU,HI,"992,605.00",Implementation,,Jul-15,7/1/2015,Single-Use Plastics + Expanded Polystyrene Ban,
HONOLULU,HI,"351,883.00",Proposal,11/14/2019,Nov-19,,Single-Use Plastics + Expanded Polystyrene Ban,
OAK PARK,IL,"52,132.00",Implementation,,Jan-17,1/2017,Plastic Bag Ban,
CHICAGO,IL,"2,720,000.00",Implementation,,Jan-14,1/2014,Plastic Bag Ban,
EVANSTON,IL,"75,338.00",Implementation,,Jul-14,7/28/2014,Plastic Bag Ban,
CAMBRIDGE,MA,"112,183.00",Proposal,3/30/2015,Mar-15,,Plastic Bag Ban,
DARTMOUTH,MA,"34,196.00",Temporary COVID-19 Repeal,,Jun-18,6/5/2018,Plastic Bag Ban,
WILMINGTON,MA,"2,331.00",Temporary COVID-19 Repeal,,May-18,5/5/2018,Plastic Bag Ban,
HAVERHILL,MA,"63,252.00",Temporary COVID-19 Repeal,,Aug-18,8/7/2018,Plastic Bag Ban,
ANDOVER,MA,"9,194.00",Temporary COVID-19 Repeal,,May-18,5/1/2018,Plastic Bag Ban,
LOWELL,MA,"111,472.00",Temporary COVID-19 Repeal,,May-18,5/29/2018,Plastic Bag Ban,
DANVERS,MA,"27,558.00",Temporary COVID-19 Repeal,,May-18,5/21/2018,Plastic Bag Ban,
WESTFORD,MA,"24,267.00",Temporary COVID-19 Repeal,,Mar-18,3/25/2018,Plastic Bag Ban,
GLOUCESTER,MA,"30,006.00",Temporary COVID-19 Repeal,,Nov-17,11/14/2017,Plastic Bag Ban,
HOPKINTON,MA,"2,794.00",Temporary COVID-19 Repeal,,Apr-18,4/1/2018,Plastic Bag Ban,
BELMONT,MA,"26,171.00",Temporary COVID-19 Repeal,,Apr-18,4/30/2018,Plastic Bag Ban,
BOSTON,MA,"678,430.00",Temporary COVID-19 Repeal,,Nov-17,11/29/2017,Plastic Bag Ban,
COHASSET,MA,"8,453.00",Temporary COVID-19 Repeal,,Apr-18,4/30/2018,Plastic Bag Ban,
WINCHESTER,MA,"22,491.00",Temporary COVID-19 Repeal,,Apr-18,4/30/2018,Plastic Bag Ban,
MARSHFIELD,MA,"25,734.00",Temporary COVID-19 Repeal,,May-18,5/17/2018,Plastic Bag Ban,
WESTBOROUGH,MA,"4,057.00",Temporary COVID-19 Repeal,,Mar-18,3/17/2018,Plastic Bag Ban,
SWAMPSCOTT,MA,"14,911.00",Temporary COVID-19 Repeal,,May-18,5/22/2018,Plastic Bag Ban,
TOPSFIELD,MA,"6,536.00",Temporary COVID-19 Repeal,,Jul-18,7/1/2018,Plastic Bag Ban,
WAYLAND,MA,"13,886.00",Temporary COVID-19 Repeal,,May-17,5/2/2017,Plastic Bag Ban,
WAKEFIELD,MA,"26,957.00",Temporary COVID-19 Repeal,,Dec-17,12/15/2017,Plastic Bag Ban,
MELROSE,MA,"28,207.00",Temporary COVID-19 Repeal,,Dec-17,12/19/2017,Plastic Bag Ban,
SOUTH HADLEY,MA,"17,791.00",Temporary COVID-19 Repeal,,May-17,5/11/2017,Plastic Bag Ban,
SUDBURY,MA,"18,818.00",Temporary COVID-19 Repeal,,May-17,5/1/2017,Plastic Bag Ban,
DALTON,MA,"6,624.00",Temporary COVID-19 Repeal,,Jun-17,6/27/2017,Plastic Bag Ban,
YARMOUTH,MA,"23,369.00",Temporary COVID-19 Repeal,,May-18,5/6/2018,Plastic Bag Ban,
ARLINGTON,MA,"44,408.00",Temporary COVID-19 Repeal,,Apr-17,4/26/2017,Plastic Bag Ban,
STOCKBRIDGE,MA,"1,923.00",Formal Enactment,,Apr-19,4/29/2019,Plastic Bag Ban,
BOURNE,MA,"19,880.00",Implementation,,Oct-16,10/1/2016,Plastic Bag Ban,
OAK BLUFFS,MA,"4,680.00",Temporary COVID-19 Repeal,,Jul-17,7/18/2017,Plastic Bag Ban,
FRAMINGHAM,MA,"70,743.00",Temporary COVID-19 Repeal,,May-16,5/5/2016,Plastic Bag Ban,
EDGARTOWN,MA,"4,314.00",Temporary COVID-19 Repeal,,Apr-16,4/12/2016,Plastic Bag Ban,
ATHOL,MA,"11,670.00",Temporary COVID-19 Repeal,,Jun-17,6/12/2017,Plastic Bag Ban,
SANDWICH,MA,"20,317.00",Temporary COVID-19 Repeal,,Jan-17,1/28/2017,Plastic Bag Ban,
IPSWICH,MA,"4,215.00",Temporary COVID-19 Repeal,,May-16,5/12/2016,Plastic Bag Ban,
DENNIS,MA,"13,964.00",Temporary COVID-19 Repeal,,Oct-16,10/1/2016,Plastic Bag Ban,
BEDFORD,MA,"94,988.00",Temporary COVID-19 Repeal,,Mar-17,3/25/2017,Plastic Bag Ban,
PLYMOUTH,MA,"7,399.00",Temporary COVID-19 Repeal,,Oct-16,10/1/2016,Plastic Bag Ban,
NATICK,MA,"36,153.00",Temporary COVID-19 Repeal,,Feb-17,2/15/2017,Plastic Bag Ban,
WATERTOWN,MA,"35,157.00",Temporary COVID-19 Repeal,,Jun-16,6/1/2016,Plastic Bag Ban,
SHREWSBURY,MA,"36,701.00",Temporary COVID-19 Repeal,,May-16,5/19/2016,Plastic Bag Ban,
LENOX,MA,"1,833.00",Temporary COVID-19 Repeal,,Jun-16,6/1/2016,Plastic Bag Ban,
LEE,MA,"1,809.00",Temporary COVID-19 Repeal,,Jun-16,6/1/2016,Plastic Bag Ban,
ADAMS,MA,"5,412.00",Temporary COVID-19 Repeal,,Jun-16,6/20/2016,Plastic Bag Ban,
AMHERST,MA,"20,037.00",Temporary COVID-19 Repeal,,May-16,5/31/2016,Plastic Bag Ban,
CHILMARK,MA,915,Temporary COVID-19 Repeal,,Apr-16,4/12/2016,Plastic Bag Ban,
AQUINNAH,MA,311,Temporary COVID-19 Repeal,,May-16,5/1/2016,Plastic Bag Ban,
WEST TISBURY,MA,"2,895.00",Temporary COVID-19 Repeal,,Dec-16,12/1/2016,Plastic Bag Ban,
TISBURY,MA,"4,104.00",Temporary COVID-19 Repeal,,Apr-16,4/26/2016,Plastic Bag Ban,
SALEM,MA,"166,378.00",Temporary COVID-19 Repeal,,Jan-16,1/2016,Plastic Bag Ban,
WELLESLEY,MA,"28,909.00",Temporary COVID-19 Repeal,,Apr-16,4/16/2016,Plastic Bag Ban,
BARNSTABLE,MA,"44,156.00",Temporary COVID-19 Repeal,,Sep-15,9/15/2015,Plastic Bag Ban,
SOMERVILLE,MA,"81,106.00",Temporary COVID-19 Repeal,,Nov-15,11/1/2015,Plastic Bag Ban,
FALMOUTH,MA,"3,730.00",Temporary COVID-19 Repeal,,Nov-14,11/1/2014,Plastic Bag Ban,
HAMILTON,MA,"536,915.00",Temporary COVID-19 Repeal,,Apr-15,4/11/2015,Plastic Bag Ban,
HARWICH,MA,"12,119.00",Temporary COVID-19 Repeal,,May-15,5/4/2015,Plastic Bag Ban,
CAMBRIDGE,MA,"112,183.00",Temporary COVID-19 Repeal,,Mar-15,3/15/2015,Plastic Bag Ban,
TRURO,MA,"12,261.00",Temporary COVID-19 Repeal,,Nov-15,11/5/2015,Plastic Bag Ban,
BRIDGEWATER,MA,"45,256.00",Temporary COVID-19 Repeal,,Mar-16,3/8/2016,Plastic Bag Ban,
NORTHAMPTON,MA,"28,583.00",Temporary COVID-19 Repeal,,Apr-15,4/16/2015,Plastic Bag Ban,
CONCORD,MA,"129,172.00",Temporary COVID-19 Repeal,,Jan-18,1/2018,Single-Use Plastics + Expanded Polystyrene Ban,
CHATHAM,MA,"101,645.00",Temporary COVID-19 Repeal,,Jan-19,1/2019,Single-Use Plastics + Expanded Polystyrene Ban,
WELLFLEET,MA,"2,735.00",Temporary COVID-19 Repeal,,Apr-15,4/1/2015,Plastic Bag Ban,
WILLIAMSTOWN,MA,"15,453.00",Temporary COVID-19 Repeal,,May-15,5/20/2015,Plastic Bag Ban,
NEWTON,MA,"88,742.00",Temporary COVID-19 Repeal,,Jan-15,1/20/2015,Plastic Bag Ban,
MARBLEHEAD,MA,"20,363.00",Temporary COVID-19 Repeal,,May-14,5/15/2014,Plastic Bag Ban,
PROVINCETOWN,MA,"2,680.00",Temporary COVID-19 Repeal,,Nov-14,11/17/2014,Plastic Bag Ban,
NEWBURYPORT,MA,"17,946.00",Temporary COVID-19 Repeal,,Oct-14,10/1/2014,Plastic Bag Ban,
GREAT BARRINGTON,MA,"6,886.00",Temporary COVID-19 Repeal,,Jan-13,1/1/2013,Plastic Bag Ban,
CHELMSFORD,MA,"35,108.00",Proposal,10/21/2019,Oct-19,,Plastic Bag Ban,
MANCHESTER,MA,"530,300.00",Temporary COVID-19 Repeal,,Jul-05,7/1/2005,Plastic Bag Ban,
BROOKLINE,MA,"59,180.00",Temporary COVID-19 Repeal,,Nov-12,11/14/2012,Single-Use Plastics + Expanded Polystyrene Ban,
ESSEX,MA,"1,476.00",Proposal,11/13/2019,Nov-19,,Plastic Bag Ban,
STONEHAM,MA,"22,044.00",Temporary COVID-19 Repeal,,Nov-19,11/1/2019,Plastic Bag Ban,
ABINGTON,MA,,Temporary COVID-19 Repeal,,,10/7/2019,Plastic Bag Ban,
ACTON,MA,,Temporary COVID-19 Repeal,,,4/2/2019,Plastic Bag Ban,
AMESBURG,MA,,Temporary COVID-19 Repeal,,,3/14/2019,Plastic Bag Ban,
AMESBURY,MA,,Temporary COVID-19 Repeal,,,3/14/2019,Plastic Bag Ban,
AQUINNA,MA,,Temporary COVID-19 Repeal,,,1/1/2016,Plastic Bag Ban,
ASHLAND,MA,,Temporary COVID-19 Repeal,,,7/11/2017,Plastic Bag Ban,
ATTLEBORO,MA,,Temporary COVID-19 Repeal,,,1/9/2019,Plastic Bag Ban,
AUBURN,MA,,Temporary COVID-19 Repeal,,,10/15/2019,Plastic Bag Ban,
BAR HARBOR,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
BECKET,MA,,Temporary COVID-19 Repeal,,,5/11/2019,Plastic Bag Ban,
BERLIN,MA,,Temporary COVID-19 Repeal,,,5/1/2019,Plastic Bag Ban,
BEVERLY,MA,,Temporary COVID-19 Repeal,,,6/20/2018,Plastic Bag Ban,
BILLERICA,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
BREWSTER,MA,,Temporary COVID-19 Repeal,,,5/13/2019,Plastic Bag Ban,
BUCKLAND,MA,,Temporary COVID-19 Repeal,,,5/19/2019,"Plastic Bags, Straws & Stirrers",
BURLINGTON,MA,,Temporary COVID-19 Repeal,,,5/10/2018,Plastic Bag Ban,
CANTON,MA,,Temporary COVID-19 Repeal,,,9/11/2019,Plastic Bag Ban,
DEDHAM,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
DOVER,MA,,Temporary COVID-19 Repeal,,,5/19/2019,Plastic Bag Ban,
DUXBURY,MA,,Temporary COVID-19 Repeal,,,3/3/2017,Plastic Bag Ban,
EASTHAM,MA,,Temporary COVID-19 Repeal,,,5/6/2019,Plastic Bag Ban,
EASTON,MA,,Temporary COVID-19 Repeal,,,11/12/2019,Plastic Bag Ban,
ESSEX,MA,,Temporary COVID-19 Repeal,,,11/29/2019,Plastic Bag Ban,
FRANKLIN,MA,,Temporary COVID-19 Repeal,,,2/12/2020,Plastic Bag Ban,
GEORGETOWN,MA,,Temporary COVID-19 Repeal,,,5/1/2018,Plastic Bag Ban,
GRAFTON,MA,,Temporary COVID-19 Repeal,,,5/8/2018,Plastic Bag Ban,
GREENFIELD,MA,,Temporary COVID-19 Repeal,,,1/16/2019,Plastic Bag Ban,
GROTON,MA,,Temporary COVID-19 Repeal,,,10/21/2019,Plastic Bag Ban,
HALIFAX,MA,,Temporary COVID-19 Repeal,,,1/1/2020,Plastic Bag Ban,
HANSON,MA,,Temporary COVID-19 Repeal,,,11/19/2019,Plastic Bag Ban,
HINGHAM,MA,,Temporary COVID-19 Repeal,,,2/19/2019,Plastic Bag Ban,
HUDSON,MA,,Temporary COVID-19 Repeal,,,11/18/2019,Plastic Bag Ban,
HULL,MA,,Temporary COVID-19 Repeal,,,4/4/2019,Plastic Bag Ban,
LEXINGTON,MA,,Temporary COVID-19 Repeal,,,4/26/2018,Plastic Bag Ban,
LINCOLN,MA,,Temporary COVID-19 Repeal,,,3/26/2018,Plastic Bag Ban,
LONGMEADOW,MA,,Temporary COVID-19 Repeal,,,10/17/2018,Plastic Bag Ban,
LUNENBERG,MA,,Temporary COVID-19 Repeal,,,11/13/2018,Plastic Bag Ban,
LYNN,MA,,Temporary COVID-19 Repeal,,,4/1/2019,Plastic Bag Ban,
MALDEN,MA,,Temporary COVID-19 Repeal,,,1/2/2020,Plastic Bag Ban,
MANSFIELD,MA,,Temporary COVID-19 Repeal,,,5/12/2018,Plastic Bag Ban,
MASHPEE,MA,,Temporary COVID-19 Repeal,,,5/15/2014,Plastic Bag Ban,
MEDFIELD,MA,,Temporary COVID-19 Repeal,,,4/29/2019,Plastic Bag Ban,
MEDFORD,MA,,Temporary COVID-19 Repeal,,,1/8/2019,Plastic Bag Ban,
MEDIFIELD,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
MEDWAY,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
MILLIS,MA,,Temporary COVID-19 Repeal,,,11/1/2019,Plastic Bag Ban,
MILTON,MA,,Temporary COVID-19 Repeal,,,11/1/2018,Plastic Bag Ban,
NORTH ATTLEBOROUGH,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
NORTH HAMPTON,MA,,Temporary COVID-19 Repeal,,,4/16/2015,Plastic Bag Ban,
NORTHBOROUGH,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
NORWELL,MA,,Temporary COVID-19 Repeal,,,5/6/2019,Plastic Bag Ban,
ORLEANS,MA,,Temporary COVID-19 Repeal,,,5/7/2018,Plastic Bag Ban,
PEMBROKE,MA,,Temporary COVID-19 Repeal,,,2/11/2019,Plastic Bag Ban,
PEPPERELL,MA,,Temporary COVID-19 Repeal,,,9/10/2019,Plastic Bag Ban,
PITTSBURG,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
PITTSFIELD,MA,,Temporary COVID-19 Repeal,,,4/1/2019,Plastic Bag Ban,
PLAINVILLE,MA,,Temporary COVID-19 Repeal,,,6/3/2019,Plastic Bag Ban,
RANDOLF,MA,,Temporary COVID-19 Repeal,,,7/29/2019,Plastic Bag Ban,
READING,MA,,Temporary COVID-19 Repeal,,,11/16/2017,Plastic Bag Ban,
REVERE,MA,,Temporary COVID-19 Repeal,,,4/22/2019,Plastic Bag Ban,
ROCKPORT,MA,,Temporary COVID-19 Repeal,,,9/21/2018,Plastic Bag Ban,
SAUGUS,MA,,Temporary COVID-19 Repeal,,,5/6/2019,Plastic Bag Ban,
SCITUATE,MA,,Temporary COVID-19 Repeal,,,11/15/2018,Plastic Bag Ban,
SEEKONK,MA,,Temporary COVID-19 Repeal,,,5/15/2019,Plastic Bag Ban,
SHARON,MA,,Temporary COVID-19 Repeal,,,5/10/2019,Plastic Bag Ban,
SOUTHBRIDGE,MA,,Temporary COVID-19 Repeal,,,5/9/2019,Plastic Bag Ban,
SPRINGFIELD,MA,,Temporary COVID-19 Repeal,,,4/23/2019,Plastic Bag Ban,
TEWKSBURY,MA,,Temporary COVID-19 Repeal,,,10/3/2018,Plastic Bag Ban,
TOWN OF CHATHAM,MA,,Temporary COVID-19 Repeal,,,1/1/2016,Plastic Bag Ban,
TOWNSEND,MA,,Temporary COVID-19 Repeal,,,5/7/2019,Plastic Bag Ban,
TYNGSBOROUGH,MA,,Temporary COVID-19 Repeal,,,5/15/2018,Plastic Bag Ban,
WESTON,MA,,Temporary COVID-19 Repeal,,,5/17/2017,Plastic Bag Ban,
WINTHROP,MA,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
WOBURN,MA,,Temporary COVID-19 Repeal,,,4/11/2019,Plastic Bag Ban,
WORCESTER,MA,,Temporary COVID-19 Repeal,,,9/17/2019,Plastic Bag Ban,
WRENTHAM,MA,,Temporary COVID-19 Repeal,,,6/1/2019,Plastic Bag Ban,
ABERDEEN,MD,"16,291.00",Temporary COVID-19 Repeal,,Mar-17,3/1/2017,Plastic Bag Ban,
TAKOMA PARK,MD,"17,746.00",Proposal,7/1/2019,Jul-19,,Expanded Polystyrene Ban,
CHESTERTOWN,MD,"5,122.00",Implementation,,Jan-12,1/2012,Plastic Bag Ban,
NEW CASTLE,ME,"17,352.00",Temporary COVID-19 Repeal,,Jan-18,1/2018,Single-Use Plastics + Expanded Polystyrene Ban,
ROCKLAND,ME,"7,174.00",Temporary COVID-19 Repeal,,Mar-18,3/13/2018,Single-Use Plastics + Expanded Polystyrene Ban,
MANCHESTER,ME,"110,506.00",Temporary COVID-19 Repeal,,Jun-18,6/14/2018,Plastic Bag Ban,
BLUE HILL,ME,"2,672.00",Temporary COVID-19 Repeal,,Apr-18,4/7/2018,Plastic Bag Ban,
BATH,ME,"8,279.00",Temporary COVID-19 Repeal,,Sep-17,9/6/2017,Plastic Bag Ban,
BELFAST,ME,"6,718.00",Temporary COVID-19 Repeal,,Jan-18,1/1/2018,Plastic Bag Ban,
CAPE ELIZABETH,ME,"9,289.00",Temporary COVID-19 Repeal,,Sep-17,9/18/2017,Single-Use Plastics + Expanded Polystyrene Ban,
BRUNSWICK,ME,"15,564.00",Temporary COVID-19 Repeal,,Mar-16,3/21/2016,Expanded Polystyrene Ban,
TOPSHAM,ME,"8,734.00",Temporary COVID-19 Repeal,,Apr-17,4/1/2017,Expanded Polystyrene Ban,
SACO,ME,"19,232.00",Temporary COVID-19 Repeal,,Sep-16,9/19/2016,Expanded Polystyrene Ban,
FREEPORT,ME,"1,249.00",Temporary COVID-19 Repeal,,Jan-90,1/1/1990,Expanded Polystyrene Ban,
KENNEBUNK,ME,"11,283.00",Temporary COVID-19 Repeal,,Jun-16,6/17/2016,Plastic Bag Ban,
FALMOUTH,ME,"12,068.00",Temporary COVID-19 Repeal,,Jan-16,1/1/2016,Plastic Bag Ban,
YORK,ME,"200,536",Temporary COVID-19 Repeal,,Nov-15,11/2015,Plastic Bag Ban,
SOUTH PORTLAND,ME,"25,513.00",Temporary COVID-19 Repeal,,Sep-15,9/21/2015,Single-Use Plastics + Expanded Polystyrene Ban,
PORTLAND,ME,"66,892.00",Temporary COVID-19 Repeal,,Jan-14,1/2014,Expanded Polystyrene Ban,
DAMARISCOTTA,ME,"2,135.00",Temporary COVID-19 Repeal,,Nov-19,11/7/2019,Plastic Bag Ban,
CAMDEN,ME,"74,513.00",Temporary COVID-19 Repeal,,Nov-18,11/16/2018,Plastic Bag Ban,
