City,State,"Population 
BAR HARBOR,ME,"5,456.00",Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
SOUTHWEST HARBOR,ME,"1,780.00",Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
WATERVILLE,ME,"16,619.00",Temporary COVID-19 Repeal,,,10/2/2019,Plastic Bag Ban,
WINDHAM,ME,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
JERSEY CITY,NJ,"267,446.00",Temporary COVID-19 Repeal,,Jun-18,6/1/2018,Plastic Bag Ban,
BELMAR,NJ,"5,697.00",Implementation,,May-18,5/1/2018,Plastic Bag Ban,
BRIGANTINE BEACH,NJ,"9,239.00",Implementation,,Sep-18,9/5/2018,Plastic Bag Ban,
HOBOKEN,NJ,"55,044.00",Implementation,,Jun-18,6/2018,Plastic Bag Ban,
BRADLEY BEACH,NJ,"4,255.00",Implementation,,Jul-18,7/1/2018,Plastic Bag Ban,
STAFFORD TOWNSHIP,NJ,"27,174.00",Temporary COVID-19 Repeal,,Aug-18,8/1/2018,Plastic Bag Ban,
TEANECK,NJ,"41,147.00",Formal Enactment,,Jan-17,1/2017,Plastic Bag Ban,
MONMOUTH BEACH,NJ,"3,228.00",Implementation,,Apr-18,4/18/2018,Single-Use Plastics + Expanded Polystyrene Ban,
LONG BEACH,NJ,"470,852.00",Implementation,,Nov-17,11/9/2017,Plastic Bag Ban,
POINT PLEASANT BEACH,NJ,"4,549.00",Implementation,,May-18,5/1/2018,Plastic Bag Ban,
LONGPORT,NJ,876,Implementation,,Feb-19,2/20/2019,Plastic Bag Ban,
LAMBERTVILLE,NJ,"3,827.00",Formal Enactment,,Sep-19,9/1/2019,Single-Use Plastics + Expanded Polystyrene Ban,
CRANFORD,NJ,"24,334.00",Formal Enactment,,Aug-19,8/19/2019,Plastic Bag Ban,
SILVER CITY,NM,"9,769.00",Implementation,,Jul-14,7/8/2014,Plastic Bag Ban,
SANTA FE,NM,"83,287.00",Implementation,,Jan-18,1/2018,Plastic Straw Alternatives Resolution,
BEDFORD,NY,"17,906.00",Implementation,,Jun-18,6/6/2018,Plastic Bag Ban,
LEWISBORO,NY,"12,784.00",Formal Enactment,,Jun-18,6/25/2018,Single-Use Plastics + Expanded Polystyrene Ban,
SEA CLIFF,NY,"5,094.00",Implementation,,Nov-18,11/12/2018,Single-Use Plastics + Expanded Polystyrene Ban,
LONG BEACH,NY,"33,675.00",Implementation,,Oct-17,10/1/2017,Expanded Polystyrene Ban,
NEW CASTLE,NY,"18,146.00",Implementation,,May-16,5/26/2016,"Plastic Bags, Straws & Stirrers",
NEW YORK CITY,NY,"8,615,000.00",Implementation,,Jun-18,6/13/2018,Expanded Polystyrene Ban,
PATCHOGUE VILLAGE,NY,"12,494.00",Implementation,,Jun-15,6/15/2015,Single-Use Plastics + Expanded Polystyrene Ban,
SAG HARBOR,NY,"2,285.00",Implementation,,Apr-15,4/14/2015,Plastic Bag Ban,
SOUTHAMPTON,NY,"3,291.00",Implementation,,Feb-19,2/1/2019,Single-Use Plastics + Expanded Polystyrene Ban,
NEW PALTZ VILLAGE,NY,"14,093.00",Implementation,,Nov-14,11/3/2014,Plastic Bag Ban,
HASTINGS ON HUDSON,NY,"8,019.00",Proposal,6/1/2014,Jun-14,,Single-Use Plastics + Expanded Polystyrene Ban,
LARCHMONT,NY,"6,170.00",Implementation,,Mar-13,3/22/2013,Plastic Bag Ban,
MAMARONECK,NY,"30,068.00",Implementation,,Jul-12,7/16/2012,Plastic Bag Ban,
RYE,NY,"15,949.00",Implementation,,Oct-12,10/1/2012,Plastic Bag Ban,
EAST HAMPTON,NY,"22,009.00",Implementation,,Apr-18,4/20/2018,Expanded Polystyrene Ban,
MAMARONECK,NY,"30,068.00",Implementation,,Jul-12,7/16/2012,"Plastic Bags, Straws & Stirrers",
MILWAUKIE,OR,"20,775.00",Implementation,,Aug-18,8/21/2018,Single-Use Plastics + Expanded Polystyrene Ban,
MANZANITA,OR,634,Implementation,,Sep-17,9/1/2017,Plastic Bag Ban,
MCMINNVILLE,OR,"33,814.00",Implementation,,Feb-17,2/14/2017,Plastic Bag Ban,
HOOD RIVER,OR,"7,588.00",Implementation,,Jan-17,1/9/2017,Plastic Bag Ban,
FOREST GROVE,OR,"24,030.00",Implementation,,Jun-16,6/13/2016,Plastic Bag Ban,
ASHLAND,OR,"20,897.00",Implementation,,May-14,5/6/2014,Single-Use Plastics + Expanded Polystyrene Ban,
EUGENE,OR,"165,665.00",Implementation,,Mar-19,3/11/2019,"Plastic Bags, Straws & Stirrers",
CORVALLIS,OR,"56,945.00",Implementation,,Jul-12,7/2/2012,Plastic Bag Ban,
PORTLAND,OR,"641,494.00",Implementation,,Jun-14,6/16/2014,Expanded Polystyrene Ban,
PROVIDENCE,RI,"179,954.00",Formal Enactment,,Apr-19,4/22/2019,Plastic Bag Ban,
NORTH KINGSTOWN,RI,"26,084.00",Implementation,,Jul-18,7/30/2018,Plastic Bag Ban,
JAMESTOWN,RI,"15,342.00",Implementation,,Sep-17,9/18/2017,Plastic Bag Ban,
NEW SHOREHAM,RI,"1,050.00",Implementation,,Dec-17,12/1/2017,Plastic Bag Ban,
NEWPORT,RI,"25,078.00",Implementation,,Apr-15,4/15/2015,Plastic Bag Ban,
MIDDLETOWN,RI,"9,258.00",Implementation,,May-17,5/1/2017,Plastic Bag Ban,
BARRINGTON,RI,"10,340.00",Implementation,,Aug-12,8/31/2012,Plastic Bag Ban,
MOUNT PLEASANT,SC,"83,856.00",Implementation,,Apr-18,4/16/2018,Single-Use Plastics + Expanded Polystyrene Ban,
SURFSIDE BEACH,SC,"4,321.00",Implementation,,Jan-18,1/24/2018,Plastic Bag Ban,
FOLLY BEACH,SC,"2,738.00",Implementation,,10/19//2016,10/19//2016,Single-Use Plastics + Expanded Polystyrene Ban,
ISLE OF PALMS,SC,"4,371.00",Formal Enactment,,Mar-19,3/1/2019,"Plastic Bags, Straws & Stirrers",
ARCADIA LAKES,SC,865,Formal Enactment,,Feb-19,02/07/2019,Plastic Bag Ban,
BEAUFORT COUNTY,SC,"183,497.00",Implementation,,Jan-18,1/8/2018,Plastic Bag Ban,
BLUFFTON,SC,"18,863.00",Implementation,,Feb-18,2/13/2018,Plastic Bag Ban,
CAMDEN,SC,"74,513.00",Formal Enactment,,Mar-19,3/26/2019,Plastic Bag Ban,
CHARLESTON,SC,"129,888.00",Formal Enactment,,Nov-18,11/27/2018,Plastic Bag Ban,
CITY OF BEAUFORT,SC,"13,692.00",Implementation,,Jan-18,1/1/2018,Plastic Bag Ban,
EDISTO BEACH,SC,406,Formal Enactment,,Apr-19,4/11/2019,Plastic Bag Ban,
HILTON HEAD,SC,"39,997.00",Implementation,,Jan-18,1/9/2018,Plastic Bag Ban,
PORT ROYAL,SC,"12,773.00",Implementation,,Jan-19,1/17/2019,Plastic Bag Ban,
JAMES ISLAND,SC,"12,090.00",Formal Enactment,,Jan-19,1/17/2019,Plastic Bag Ban,
"MYRTLE BEACH, NORTH",SC,"15,925.00",Formal Enactment,,Apr-19,4/15/2019,Plastic Bag Ban,
BARRIERS ISLANDS,NC,,Repealed,,Sep-19,9/19/2019,Plastic Bag Ban,
DURHAM,NC,"263,138.00",Pending,,Sep-19,9/19/2019,Plastic Bag Ban,
BROWNSVILLE,TX,"182,888.00",Repealed,,Jul-18,7/2018,Plastic Bag Ban,
EAGLE PASS,TX,"29,256.00",Repealed,,Jun-18,6/22/2018,Plastic Bag Ban,
PORT ARANSAS,TX,"4,082.00",Implementation,,Dec-14,12/18/2014,Plastic Bag Ban,
LAREDO,TX,"258,102.00",Repealed,,Jul-18,7/31/2018,Plastic Bag Ban,
KERMIT,TX,"6,315.00",Implementation,,Oct-13,10/1/2013,Plastic Bag Ban,
SUNSET VALLEY,TX,692,Implementation,,Feb-13,2/19/2013,Plastic Bag Ban,
FREER,TX,"2,727.00",Implementation,,May-12,5/2012,Plastic Bag Ban,
AUSTIN,TX,"938,200.00",Implementation,,Apr-12,4/12/2012,Plastic Bag Ban,
LAGUNA VISTA,TX,"3,181.00",Implementation,,Sep-12,9/11/2012,Plastic Bag Ban,
SOUTH PADRE ISLAND,TX,"2,847.00",Implementation,,Dec-11,12/1/2011,Plastic Bag Ban,
FORT STOCKTON,TX,"8,394.00",Implementation,,Aug-12,8/24/2012,Plastic Bag Ban,
MOAB,UT,"5,273.00",Implementation,,Sep-18,9/14/2018,Plastic Bag Ban,
PARK CITY,UT,"8,299.00",Implementation,,Jun-17,6/27/2017,Plastic Bag Ban,
BRATTLEBORO,VT,"7,322.00",Implementation,,Jan-18,1/20/2018,Plastic Bag Ban,
KENMORE,WA,"22,407.00",Implementation,,Jul-18,7/23/2018,Plastic Bag Ban,
LA CONNER,WA,926,Implementation,,Jun-18,6/14/2018,Plastic Bag Ban,
PORT ANGELES,WA,"19,597.00",Implementation,,Jul-18,7/3/2018,Plastic Bag Ban,
TACOMA,WA,"210,304.00",Implementation,,Jul-16,7/12/2016,Plastic Bag Ban,
FRIDAY HARBOR,WA,"2,334.00",Implementation,,Apr-10,4/22/2010,Expanded Polystyrene Ban,
TUMWATER,WA,"22,384.00",Implementation,,Sep-13,9/17/2013,Plastic Bag Ban,
OLYMPIA,WA,"50,660.00",Implementation,,Oct-13,10/22/2013,Plastic Bag Ban,
LACEY,WA,"47,387.00",Implementation,,Jul-14,7/13/2014,Plastic Bag Ban,
MERCER ISLAND,WA,"25,163",Implementation,,Oct-13,10/1/2013,Plastic Bag Ban,
SHORELINE,WA,"55,480.00",Implementation,,Apr-13,4/29/2013,Plastic Bag Ban,
ISSAQUAH,WA,"37,233.00",Implementation,,Sep-14,9/17/2014,Expanded Polystyrene Ban,
MUKILTEO,WA,"21,337.00",Implementation,,Dec-11,12/21/2011,Plastic Bag Ban,
PORT TOWNSEND,WA,"9,422.00",Formal Enactment,,May-19,5/13/2019,Plastic Bag Ban,
BAINBRIDGE ISLAND,WA,"24,150.00",Implementation,,Apr-12,4/18/2012,Plastic Bag Ban,
BELLINGHAM,WA,"86,926.00",Implementation,,Jun-11,6/1/2011,Plastic Bag Ban,
SEATTLE,WA,"707,255.00",Implementation,,Jul-18,7/2018,Expanded Polystyrene Ban,
EDMONDS,WA,"41,709.00",Formal Enactment,,May-18,5/1/2018,Plastic Straw Ban,
ANACORTES,WA,"16,626.00",Proposal,11/1/2019,Nov-19,,Plastic Bag Ban,
MILWAUKEE,WI,"597,508.00",Proposal,11/14/2019,Nov-19,,"Plastic Bags, Straws & Stirrers",
ATLANTA,GA,"472,967.00",Proposal,12/3/2019,Dec-19,,Single-Use Plastics + Expanded Polystyrene Ban,
GARRETT,MD,"29,344.00",Implementation,,Feb-19,2/1/2019,Plastic Straw Ban,
CONCORD,CA,"129,172.00",Implementation,,Apr-16,4/2016,Expanded Polystyrene Ban,
CLARKSTON,GA,"12,837.00",Formal Enactment,,Dec-19,12/2019,Single-Use Plastics + Expanded Polystyrene Ban,
PHILADELPHIA,PA,1.528m,Proposal,12/12/2019,Dec-19,,Plastic Bag Ban,
BAYONNE,NJ,63125,Implementation,,Jun-19,6/19/2019,Plastic Bag Ban,
LOGAN,UT,48456,Implementation,,Dec-18,12/2018,Plastic Bag Ban,
CUYAHOGA,OH,"1,278,000.00",Implementation,,May-19,5/1/2019,Plastic Bag Ban,
DENVER,CO,"2,554,816.00",Proposal,2/1/2020,Feb-20,,Single-Use Plastics + Expanded Polystyrene Ban,
Yonker,NY,"196,454.00",Formal Enactment,,Mar-20,3/1/2020,Plastic Straw Ban,
CINCINNATI,OH,"296,794.00",Proposal,1/1/2020,Jan-20,,Plastic Bag Ban,
BURBANK,CA,"103,396.00",Formal Enactment,,Jul-17,7/21/2017,Expanded Polystyrene Ban,
STONINGTON,CT,"18,533.00",Proposal,2/1/2020,Feb-20,,Plastic Straw Alternatives Resolution,
BERKELEY HEIGHTS,NJ,"13,198.00",Formal Enactment,,Feb-20,2/1/2020,Single-Use Plastics + Expanded Polystyrene Ban,
SAUGUS,CA,"26,716.00",Formal Enactment,,May-19,5/2019,Plastic Bag Ban,
FAIR HAVEN,NJ,"6,116.00",Implementation,,Aug-19,8/19/2019,Single-Use Plastics + Expanded Polystyrene Ban,
HAWORTH,NJ,"3,419.00",Formal Enactment,,Sep-19,9/24/2019,"Plastic Bags, Straws & Stirrers",
SECAUCUS,NJ,"19,563.00",Implementation,,Aug-19,8/27/2019,Plastic Bag Ban,
CAPE MAY,NJ,"3,490.00",Implementation,,,10/15/2020,Single-Use Plastics + Expanded Polystyrene Ban,
STOCKTON,NJ,519,Implementation,,Dec-20,12/9/2020,Plastic Bag Ban,
MAPLEWOOD,NJ,"24,455.00",Formal Enactment,,,3/31/2020,Expanded Polystyrene Ban,
ASBURY PARK,NJ,,Implementation,,,6/13/2019,Plastic Bag Ban,
ATLANTIC HIGHLANDS,NJ,,Temporary COVID-19 Repeal,,,,Plastic Bag Ban,
BEACH HAVEN,NJ,,Implementation,,,8/13/2018,Plastic Bag Ban,
BOROUGH OF HARVEY CEDARS,NJ,,Implementation,,,2/2/2018,Plastic Bag Ban,
BOROUGH OF MONMOUTH BEACH,NJ,,Implementation,,,5/23/2018,Plastic Bag Ban,
CHATHAM BOROUGH,NJ,,Implementation,,,10/15/2019,Plastic Bag Ban,
CHATHAM TOWNSHIP,NJ,,Implementation,,,10/10/2019,Plastic Bag Ban,
COLLINGSWOOD,NJ,,Implementation,,,10/15/2019,Plastic Bag Ban,
EEAST BRUNSWICK,NJ,,Pending,,,,Plastic Bag Ban,
GARFIELD,NJ,,Implementation,,,8/13/2019,Plastic Bag Ban,
GLEN ROCK,NJ,,Implementation,,,4/10/2019,Plastic Bag Ban,
HARDING,NJ,,Pending,,,,Plastic Bag Ban,
HIGHLAND PARK,NJ,,Implementation,,,2/5/2019,Plastic Bag Ban,
HOPEWELL BOROUGH,NJ,,Implementation,,,11/1/2018,Plastic Bag Ban,
HOPEWELL TOWNSHIP,NJ,,Pending,,,,Plastic Bag Ban,
KEARNY,NJ,,Formal Enactment,,,2/28/2020,Plastic Bag Ban,
LEONIA,NJ,,Pending,,,,Plastic Bag Ban,
LITTLE SILVER,NJ,,Implementation,,,3/25/2019,Plastic Bag Ban,
LIVINGTON,NJ,,Pending,,,,Plastic Bag Ban,
MADISON,NJ,,Implementation,,,10/16/2019,Plastic Bag Ban,
MERCHANTVILLE,NJ,,Pending,,,,Plastic Bag Ban,
MILBURN,NJ,,Formal Enactment,,,12/3/2019,Plastic Bag Ban,
MONTCLAIR,NJ,,Implementation,,,11/18/2019,Plastic Bag Ban,
NEW MILFORD,NJ,,Pending,,,,Plastic Bag Ban,
NEWARK,NJ,,Pending,,,,Plastic Bag Ban,
NORTHFIELD,NJ,,Pending,,,,Plastic Bag Ban,
OCEAN GATE,NJ,,Implementation,,,3/13/2019,Plastic Bag Ban,
ORADELL,NJ,,Pending,,,,Plastic Bag Ban,
PARAMUS,NJ,,Implementation,,,5/21/2019,Plastic Bag Ban,
PARMUS,NJ,,Pending,,,,Plastic Bag Ban,
PARSIPPANY-TROY HILLS,NJ,,Implementation,,,7/11/2019,Plastic Bag Ban,
PENNINGTON,NJ,,Pending,,,,Plastic Bag Ban,
PRINCETON,NJ,,Pending,,,,Plastic Bag Ban,
READINGTON,NJ,,Pending,,,,Plastic Bag Ban,
RED BANK,NJ,,Formal Enactment,,,8/21/2019,Plastic Bag Ban,
RIDGEWOOD,NJ,,Implementation,,,6/19/2019,Plastic Bag Ban,
SADDLE BROOK,NJ,,Implementation,,,7/1/2019,Plastic Bag Ban,
SEA BRIGHT,NJ,,Formal Enactment,,,12/17/2019,Single-Use Plastics + Expanded Polystyrene Ban,
SOMERS POINT,NJ,,Implementation,,,6/28/2018,Plastic Bag Ban,
SOUTH ORANGE,NJ,,Implementation,,,7/1/2019,Plastic Bag Ban,
STONE HARBOR,NJ,,Implementation,,,1/1/2019,Plastic Bag Ban,
SUMMIT,NJ,,Formal Enactment,,,11/18/2019,Plastic Bag Ban,
TRENTON,NJ,,Formal Enactment,,,12/5/2019,Plastic Bag Ban,
VERONA,NJ,,Pending,,,,Plastic Bag Ban,
WEST WINDSOR,NJ,,Pending,,,,Plastic Bag Ban,
WOODLAND PARK,NJ,,Implementation,,,9/4/2019,Plastic Bag Ban,
WYCKOFF,NJ,,Pending,,,,Plastic Bag Ban,
ALBANY,NY,"97,939.00",Formal Enactment,,,4//2/2020,Expanded Polystyrene Ban,
KENT,WA,"128,316.00",Temporary COVID-19 Repeal,,,8/1/2019,Plastic Bag Ban,
VILLAGE OF MAMARONECK,NY,"19,273.00",Temporary COVID-19 Repeal,,,7/16/2012,Plastic Bag Ban,
WESTCHESTER,NY,"970,267.00",Temporary COVID-19 Repeal,,,10/2/2019,Plastic Bag Ban,
EAST HAMPTON VILLAGE,NY,"1,113.00",Temporary COVID-19 Repeal,,,7/29/2011,Plastic Bag Ban,
SOUTHHOLD,NY,"22,129.00",Pending,10/2/2019,,,Plastic Bag Ban,
NASSAU,NY,"1,356,000.00",Formal Enactment,,,10/2/2019,Plastic Bag Ban,
PLEASANT VILE,NY,"7,207.00",Pending,10/2/2019,,,Plastic Bag Ban,
ROCKLAND,NY,"323,258.00",Temporary COVID-19 Repeal,,,3/13/2018,Plastic Bag Ban,
SOUTH HAMPTON VILLAGE,NY,"3,275.00",Temporary COVID-19 Repeal,,,4/26/2011,Plastic Bag Ban,
SOUTH HAMPTON TOWN,NY,"57,886.00",Temporary COVID-19 Repeal,,,12/18/2014,Plastic Bag Ban,
PHILADELPHIA,PA,"1,576,000.00",Formal Enactment,,,12/12/2019,Plastic Bag Ban,
BARRINGTON,RI,,Implementation,,,9/30/2012,Plastic Bag Ban,
BRISTOL,RI,"22,185.00",Implementation,,,2/28/2018,Plastic Bag Ban,
EAST GREENWICH,RI,"13,057.00",Implementation,,,10/15/2019,Plastic Bag Ban,
EAST PROVIDENCE,RI,"47,492",Implementation,,,10/7/2019,Plastic Bag Ban,
JAMESTOWN,RI,,Implementation,,,9/18/2017,Plastic Bag Ban,
NARRAGANSETT,RI,,Pending,,,,,
NORTH KINGSTON,RI,,Implementation,,,7/3/2018,,
PORTSMOUTH,RI,,Implementation,,,2/26/2018,,
SOUTH KINGSTOWN,RI,"53,851,184.00",Implementation,,,7/29/2018,,
TIVERTON,RI,,Pending,,,,,
WAREN,RI,,Implementation,,,6/12/2018,,
WESTERLY,RI,,Implementation,,,4/24/2019,,
PORTMOUTH,NH,,Temporary COVID-19 Repeal,,,,,
