Loc Code,Corp,Rest,Center,Center ID,Street Address,Street Address - Secondary,City,ST,Zip Code,Zip Code2,Primary Phone,,
10142,RL1,142,PFG - ELKTON,16,5051 AUTH WAY,,SUITLAND,MD,20746-4206,20746,3014233715,,
10153,RL1,153,PFG - ELKTON,16,709 INDEPENDENCE BLVD.,,VIRGINIA BEACH,VA,23455-6205,23455,7574901671,,
10180,RL1,180,PFG - ELKTON,16,1200 VESTAL PARKWAY EAST,,VESTAL,NY,13850-1835,13850,6077543787,,
10189,RL1,189,PFG - ELKTON,16,655 JEFFERSON RD,,ROCHESTER,NY,14623-3231,14623,5854242060,,
10195,RL1,195,PFG - ELKTON,16,4711 CARLISLE PIKE,,MECHANICSBURG,PA,17050-3024,17050,7177631760,,
10200,RL1,200,PFG - ELKTON,16,15700 SHADY GROVE RD,,GAITHERSBURG,MD,20877-1401,20877,3018400380,,
10203,RL1,203,PFG - ELKTON,16,750 HIGHWAY 18 NORTH,,EAST BRUNSWICK,NJ,08816-4907,08816,7322384810,,
10217,RL1,217,PFG - ELKTON,16,2220 NESCONSET HIGHWAY,,STONY BROOK,NY,11790-3508,11790,6316899060,,
10218,RL1,218,PFG - ELKTON,16,945 WOODLAND ROAD,,WYOMISSING,PA,19610-1201,19610,6103762905,,
10231,RL1,231,PFG - ELKTON,16,10325 FAIRFAX BLVD,,FAIRFAX,VA,22030-2249,22030,7036911011,,
10235,RL1,235,PFG - ELKTON,16,555 S. VAN DORN STREET,,ALEXANDRIA,VA,22304-4611,22304,7033709422,,
10239,RL1,239,PFG - ELKTON,16,3255 BRUNSWICK PIKE,,LAWRENCEVILLE,NJ,08648-2409,08648,6098961011,,
10240,RL1,240,PFG - ELKTON,16,2090 LINCOLN HIGHWAY EAST,,LANCASTER,PA,17602-3394,17602,7172911147,,
10241,RL1,241,PFG - ELKTON,16,9140 ROOSEVELT BLVD E.,,PHILADELPHIA,PA,19115-4714,19115,2156735750,,
10244,RL1,244,PFG - ELKTON,16,2200 HIGHWAY 35,,OAKHURST,NJ,07755-7204,07755,7324932404,,
10247,RL1,247,PFG - ELKTON,16,2965 ERIE BLVD. E,,SYRACUSE,NY,13224-1455,13224,3154451988,,
10251,RL1,251,PFG - ELKTON,16,8009 W BROAD ST,,RICHMOND,VA,23294-4219,23294,8047479490,,
10252,RL1,252,PFG - ELKTON,16,800 LEHIGH LIFESTYLE CENTER,,WHITEHALL,PA,18052-5737,18052,6102645541,,
10255,RL1,255,PFG - ELKTON,16,520 HIGHWAY 46,,WAYNE,NJ,07470-4822,07470,9737853114,,
10264,RL1,264,PFG - ELKTON,16,211 OLD COUNTRY RD #217,,CARLE PLACE,NY,11514-1907,11514,5162487411,,
10265,RL1,265,PFG - ELKTON,16,8905 ANNAPOLIS RD.,,LANHAM,MD,20706-2920,20706,3014594494,,
10267,RL1,267,PFG - ELKTON,16,635 U.S. HWY 1,,ISELIN,NJ,08830-3102,08830,7326366230,,
10286,RL1,286,PFG - ELKTON,16,198 WEST ROUTE 59,,NANUET,NY,10954-2217,10954,8456234800,,
10296,RL1,296,PFG - ELKTON,16,821 LYNNHAVEN PKWY,LYNNHAVEN MALL,VIRGINIA BEACH,VA,23452-7023,23452,7573400420,,
10302,RL1,302,PFG - ELKTON,16,211 ROUTE 17 S,,PARAMUS,NJ,07652-2903,07652,2019677838,,
10311,RL1,311,PFG - ELKTON,16,2255 SOUTH ROAD,,POUGHKEEPSIE,NY,12601-5580,12601,8454624301,,
10313,RL1,313,PFG - ELKTON,16,1 NEVADA STREET,,HICKSVILLE,NY,11801-1329,11801,5168228393,,
10351,RL1,351,PFG - ELKTON,16,999 CENTRAL PARK AVE,,SCARSDALE,NY,10583-3211,10583,9144726373,,
10374,RL1,374,PFG - ELKTON,16,606 WEST SUNRISE HWY.,,VALLEY STREAM,NY,11581-1010,11581,5168250277,,
10375,RL1,375,PFG - ELKTON,16,1 BALTIMORE PIKE,,SPRINGFIELD,PA,19064-3732,19064,6105440315,,
10379,RL1,379,PFG - ELKTON,16,7000 HADLEY RD.,,SOUTH PLAINFIELD,NJ,07080-1127,07080,9085616015,,
10396,RL1,396,PFG - ELKTON,16,4300 JONESTOWN ROAD,,HARRISBURG,PA,17109-6208,17109,7176571978,,
10398,RL1,398,PFG - ELKTON,16,183 JENNIFER ROAD,,ANNAPOLIS,MD,21401-7914,21401,4102665010,,
10410,RL1,410,PFG - ELKTON,16,1515 W RIDGE RD,,ROCHESTER,NY,14615-2417,14615,5856638360,,
10417,RL1,417,PFG - ELKTON,16,1046 W MERCURY BLVD,,HAMPTON,VA,23666-3307,23666,7578386062,,
10420,RL1,420,PFG - ELKTON,16,2555 E MARKET STREET,YORK CO SHOPPING CENTER,YORK,PA,17402-2403,17402,7177576624,,
10438,RL1,438,PFG - ELKTON,16,3003 ROUTE 130 SOUTH,,DELRAN,NJ,08075-2412,08075,8564616202,,
10442,RL1,442,PFG - ELKTON,16,2520 US HIGHWAY ROUTE 22,,UNION,NJ,07083-8509,07083,9086868999,,
10443,RL1,443,PFG - ELKTON,16,640 COWPATH ROAD,,LANSDALE,PA,19446-1563,19446,2158555702,,
10445,RL1,445,PFG - ELKTON,16,10 EAST END CENTER,,WILKES BARRE,PA,18702-6968,18702,5708256122,,
10455,RL1,455,PFG - ELKTON,16,3330 PLEASANT VALLEY BLVD.,,ALTOONA,PA,16602-4312,16602,8149426288,,
10469,RL1,469,PFG - ELKTON,16,2090 BARTOW AVENUE,,BRONX,NY,10475-4615,10475,7186714223,,
10489,RL1,489,PFG - ELKTON,16,4573 COMMERCIAL DR,,NEW HARTFORD,NY,13413-6208,13413,3157686156,,
10496,RL1,496,PFG - ELKTON,16,309 ROCKY RUN PARKWAY,,TALLEYVILLE,DE,19803-1522,19803,3024795582,,
10550,RL1,550,PFG - ELKTON,16,935 WAYNE AVE,,CHAMBERSBURG,PA,17201-3811,17201,7172636008,,
10552,RL1,552,PFG - ELKTON,16,271 N DUPONT HIGHWAY,,DOVER,DE,19901-7509,19901,3027349122,,
10557,RL1,557,PFG - ELKTON,16,11035 MALL CIRCLE,,WALDORF,MD,20603-4863,20603,3017057440,,
10566,RL1,566,PFG - ELKTON,16,1500 ALMONESSON ROAD,,WOODBURY,NJ,08096-5259,08096,8562323849,,
10568,RL1,568,PFG - ELKTON,16,1298 HOOPER AVE,,TOMS RIVER,NJ,08753-3341,08753,7329140183,,
10569,RL1,569,PFG - ELKTON,16,515 W MAIN STREET,,UNIONTOWN,PA,15401-2601,15401,7244382852,,
10572,RL1,572,PFG - ELKTON,16,3109 SPOTSYLVANIA MALL DRIVE,,FREDERICKSBURG,VA,22407-1105,22407,5407861949,,
10575,RL1,575,PFG - ELKTON,16,4411 BLACK HORSE PIKE,,MAYS LANDING,NJ,08330-3102,08330,6096460946,,
10599,RL1,599,PFG - ELKTON,16,4115 CHESAPEAKE SQUARE BLVD,,CHESAPEAKE,VA,23321-2200,23321,7574650627,,
10614,RL1,614,PFG - ELKTON,16,801 SUNRISE HIGHWAY,,COPIAGUE,NY,11726-1340,11726,6318423640,,
10615,RL1,615,PFG - ELKTON,16,2314 N SALISBURY BLVD,,SALISBURY,MD,21801-2145,21801,4105466454,,
10616,RL1,616,PFG - ELKTON,16,3328 CHAMBERS ROAD S.,,HORSEHEADS,NY,14845-1400,14845,6077965434,,
10625,RL1,625,PFG - ELKTON,16,1681 WESEL BLVD.,,HAGERSTOWN,MD,21740-2500,21740,3017916051,,
10634,RL1,634,PFG - ELKTON,16,8019 HONEYGO BLVD,,NOTTINGHAM,MD,21236-6998,21236,4109316372,,
10636,RL1,636,PFG - ELKTON,16,1324 SILAS DEANE HIGHWAY,,WETHERSFIELD,CT,06109-4344,06109,8602571115,,
10643,RL1,643,PFG - ELKTON,16,525 GALLERIA DRIVE,,JOHNSTOWN,PA,15904-8901,15904,8142668825,,
10644,RL1,644,PFG - ELKTON,16,1951 E. THIRD STREET,,WILLIAMSPORT,PA,17701-3901,17701,5703230423,,
10645,RL1,645,PFG - ELKTON,16,119 TEMPLE LAKE DRIVE,,COLONIAL HEIGHTS,VA,23834-4924,23834,8045206820,,
10647,RL1,647,PFG - ELKTON,16,7505 BROKEN BRANCH LANE,,MANASSAS,VA,20109-2657,20109,7033352553,,
10654,RL1,654,PFG - ELKTON,16,20831 STATE ROUTE 3,,WATERTOWN,NY,13601-2252,13601,3157861016,,
10663,RL1,663,PFG - ELKTON,16,450 ROUTE 211 E,,MIDDLETOWN,NY,10940-2202,10940,8453433228,,
10675,RL1,675,PFG - ELKTON,16,2100 RICHMOND ROAD,,WILLIAMSBURG,VA,23185-2756,23185,7572218127,,
10681,RL1,681,PFG - ELKTON,16,615 BELAIR ROAD,,BEL AIR,MD,21014-4325,21014,4108932925,,
10686,RL1,686,PFG - ELKTON,16,2121 E MARKET STREET,,HARRISONBURG,VA,22801-8760,22801,5405642719,,
10692,RL1,692,PFG - ELKTON,16,1 MIRON LANE,,KINGSTON,NY,12401-1525,12401,8453365021,,
10695,RL1,695,PFG - ELKTON,16,303 ROUTE 10 - ROXBURY TOWNSHIP,LEDGEWOOD MALL,LEDGEWOOD,NJ,7852,7852,9739273713,,
10736,RL1,736,PFG - ELKTON,16,813 E. DUBOIS AVENUE,,DU BOIS,PA,15801-2758,15801,8143718242,,
10748,RL1,748,PFG - ELKTON,16,3849 SOUTH DELSEA DRIVE,,VINELAND,NJ,08360-7413,08360,8568259600,,
10758,RL1,758,PFG - ELKTON,16,2275 E. LINCOLN HIGHWAY,,LANGHORNE,PA,19047-3033,19047,2159435350,,
10768,RL1,768,PFG - ELKTON,16,9011 SNOWDEN SQUARE DRIVE,,COLUMBIA,MD,21046-1676,21046,4102901677,,
10778,RL1,778,PFG - ELKTON,16,425 W. DEKALB PIKE,,KING OF PRUSSIA,PA,19406-2304,19406,6103379430,,
10788,RL1,788,PFG - ELKTON,16,750 UPPER GLEN STREET,,QUEENSBURY,NY,12804-2019,12804,5187610021,,
10789,RL1,789,PFG - ELKTON,16,223 SHOEMAKER ROAD,,POTTSTOWN,PA,19464-6441,19464,6103230415,,
10792,RL1,792,PFG - ELKTON,16,34 BACKUS AVENUE,,DANBURY,CT,06810-7329,06810,2037301104,,
10798,RL1,798,PFG - ELKTON,16,407 EISENHOWER DRIVE,,HANOVER,PA,17331-5227,17331,7176372858,,
10827,RL1,827,PFG - ELKTON,16,1271 U.S. ROUTE 22,,BRIDGEWATER,NJ,08807-2975,08807,9087224447,,
10860,RL1,860,PFG - ELKTON,16,1477 GREENVILLE AVE,,STAUNTON,VA,24401-5026,24401,5408877582,,
10865,RL1,865,PFG - ELKTON,16,4485 MAIN STREET,,BRIDGEPORT,CT,06606-1837,06606,2033714848,,
16211,RL1,6211,PFG - ELKTON,16,1020 W PATRICK STREET,,FREDERICK,MD,21703-3963,21703,3018469474,,
16221,RL1,6221,PFG - ELKTON,16,1670 N ATHERTON STREET,,STATE COLLEGE,PA,16803-1416,16803,8148673867,,
16227,RL1,6227,PFG - ELKTON,16,3 RESTAURANT PARK DRIVE,,OWINGS MILLS,MD,21117-3578,21117,4109028420,,
16228,RL1,6228,PFG - ELKTON,16,170 WOLF ROAD,,COLONIE,NY,12205-1116,12205,5184591040,,
16231,RL1,6231,PFG - ELKTON,16,2544 PRINCE WILLIAM PARKWAY,,WOODBRIDGE,VA,22192-4149,22192,7034914337,,
16237,RL1,6237,PFG - ELKTON,16,2100 ROUTE 38,,CHERRY HILL,NJ,08002-2043,08002,8563211701,,
16252,RL1,6252,PFG - ELKTON,16,1502 SCRANTON-CARBONDALE HWY,,SCRANTON,PA,18508-1136,18508,5703836686,,
16255,RL1,6255,PFG - ELKTON,16,21065 DULLES TOWN CENTER,,STERLING,VA,20166-2417,20166,5714348815,,
16262,RL1,6262,PFG - ELKTON,16,455 GATEWAY DRIVE,,BROOKLYN,NY,11239-2806,11239,7189642057,,
16273,RL1,6273,PFG - ELKTON,16,88-01 QUEENS BLVD.,,ELMHURST,NY,11373-4449,11373,7187603050,,
16279,RL1,6279,PFG - ELKTON,16,12580 JEFFERSON AVE,,NEWPORT NEWS,VA,23602-4314,23602,7579896423,,
16283,RL1,6283,PFG - ELKTON,16,13236 RITTENHOUSE DRIVE,,MIDLOTHIAN,VA,23112-6245,23112,8047441607,,
16293,RL1,6293,PFG - ELKTON,16,8533 GEORGIA AVE,,SILVER SPRING,MD,20910,20910,3015883299,,
16298,RL1,6298,PFG - ELKTON,16,5 TIMES SQUARE NYC/5,,NEW YORK,NY,10036-6527,10036,2127306706,,
16306,RL1,6306,PFG - ELKTON,16,14368 BALTIMORE AVE,,LAUREL,MD,20707-4952,20707,3014900191,,
16311,RL1,6311,PFG - ELKTON,16,5010 EXPRESSWAY DRIVE SOUTH,,RONKONKOMA,NY,11779-5551,11779,6315802864,,
16314,RL1,6314,PFG - ELKTON,16,700 PLAZA DRIVE,,SECAUCUS,NJ,07094-3604,07094,2015831902,,
16319,RL1,6319,PFG - ELKTON,16,1249 NEW CHURCHMAN'S RD,,NEWARK,DE,19713,19713,3024561792,,
16321,RL1,6321,PFG - ELKTON,16,2400 S. PLEASANT VALLEY RD,,WINCHESTER,VA,22601,22601,5407229490,,
16323,RL1,6323,PFG - ELKTON,16,3938 STATE ROUTE 31,,LIVERPOOL,NY,13090-1312,13090,3156523964,,
16338,RL1,6338,PFG - ELKTON,16,1002 UNIVERSITY TOWN CENTRE DR,,MORGANTOWN,WV,26501,26501,3045982201,,
16339,RL1,6339,PFG - ELKTON,16,4415 S LABURNUM AVE,,RICHMOND,VA,23231-2419,23231,8042261416,,
16347,RL1,6347,PFG - ELKTON,16,320 UNIVERSAL DRIVE NORTH,,NORTH HAVEN,CT,6473,6473,2032348917,,
16358,RL1,6358,PFG - ELKTON,16,3588 ROUTE 611,,BARTONSVILLE,PA,18321-1766,18321,5704212743,,
16360,RL1,6360,PFG - ELKTON,16,7063 ARUNDEL MILLS BLVD,,HANOVER,MD,21076-1395,21076,4107962390,,
16361,RL1,6361,PFG - ELKTON,16,1648 RIO ROAD E,,CHARLOTTESVILLE,VA,22901,22901,4349730315,,
16370,RL1,6370,PFG - ELKTON,16,5135 XAVIER DRIVE,,YONKERS,NY,10704-1332,10704,9149657190,,
16385,RL1,6385,PFG - ELKTON,16,261 W 125TH STREET,,NEW YORK,NY,10027,10027,2122801930,,
